price,bedrooms,location
10000000,1,Westlands
10000000,2,Kileleshwa
10000000,1,Embakasi
10000000,3,Mountain View
10000000,1,Westlands
10000000,2,Utawala
9900000,3,Kileleshwa
9790000,2,Nairobi Central
9500999,2,Kilimani
9500000,2,Westlands
9500000,1,Lavington
9200000,1,Westlands
9000000,1,Westlands
8800000,1,Kasarani
8500999,2,Kileleshwa
8500000,2,Kilimani
8500000,2,Lavington
8300000,2,Kilimani
8300000,2,Kileleshwa
8200000,3,Embakasi
8000000,1,Kilimani
8000000,3,Kitisuru
8000000,1,Kilimani
8000000,1,Kileleshwa
8000000,2,Kilimani
7800000,3,Embakasi
7800000,3,Embakasi
7800000,2,Kilimani
7500000,2,Kahawa North
7500000,3,Njiru
7300000,1,Nairobi West
7000000,1,Kilimani
7000000,1,Kileleshwa
7000000,1,Lavington
6800000,1,Kileleshwa
6700000,1,Kilimani
6500000,2,Imara Daima
6500000,1,Kilimani
6450000,1,Westlands
6200000,2,Madaraka
6100000,3,Ruai
6000000,1,Kilimani
6000000,1,Kileleshwa
6000000,1,Lavington
6000000,1,Lavington
6000000,1,Kilimani
6000000,1,Lavington
5900000,3,Ruai
5800000,1,Kilimani
5500000,1,Kilimani
5500000,1,Nairobi West
5500000,1,Nairobi Central
5500000,2,Kitisuru
5500000,1,Kilimani
5000000,1,Kilimani
4900000,3,Ruai
4900000,2,Kahawa West
4800000,1,Kilimani
4800000,1,Kileleshwa
4800000,1,Kileleshwa
4700000,1,Nairobi Central
4500000,1,Kilimani
4500000,1,Kilimani
4500000,1,Kileleshwa
4500000,1,Kileleshwa
4300000,1,Lavington
4000000,2,Westlands
3950000,1,Kileleshwa
3500000,1,Kitisuru
3500000,1,Kitisuru
3500000,1,Kilimani
3000000,2,Westlands
2800000,1,Kasarani
2700000,1,Roysambu
2600000,320,Utawala
2500000,2,Kileleshwa
1800000,1,Roysambu
397273,4,Westlands
376364,3,Westlands
315000,3,Westlands
299000,1,Kasarani
